pH,Temp,Voltage,QC
2.13,43.68,18.4,0
1.95,42.41,17.8,0
1.81,42.86,16.67,0
2.02,43.11,18.58,0
1.89,41.33,18.6,0
1.88,44.47,15.8,0
1.96,43.66,15.46,0
2.19,41.03,17.21,0
2.1,44.99,17.83,0
2.01,40.29,15.56,0
2.04,40.25,18.27,0
1.9,41.42,17.8,0
1.9,43.76,17,0
2.13,43.58,17.36,0
1.86,42.5,15.21,0
2.17,41.28,16.88,0
2.1,44.63,16.91,0
2.07,41.52,15.66,0
2.1,43.43,19.23,0
1.85,42.32,16.56,0
2.09,41.64,16.3,0
2.12,44.3,16.88,0
1.98,40.53,19.78,0
2.16,41.16,16.02,0
1.86,42.14,17.84,0
1.96,41.37,18.15,0
1.82,41.35,18.03,0
2.02,41.3,17.71,0
1.92,40.96,15.2,0
1.99,41.95,15.09,0
2.4,41.15,10.72,0
1.91,43.38,16.11,0
2,40.03,19.01,0
1.99,40.67,19.09,0
2.12,41.22,16.84,0
1.9,41.79,18.35,0
1.91,43.96,18.13,0
1.9,44.22,16.82,0
2.06,42.16,18.58,0
2.06,41.13,17.5,0
1.92,44.95,17.38,0
2.06,44.57,17.54,0
1.84,42.76,15.78,0
1.91,42.3,17.18,0
1.81,43.03,16.12,0
2.05,40.05,19.47,0
2.1,43.11,17.35,0
1.99,41.4,19.58,0
2.02,40.07,15.41,0
1.86,43.21,16.75,0
1.85,40.11,19.69,0
1.83,42.58,13.42,0
2.01,42.72,17.14,0
2.04,42.14,17.62,0
2.11,42.13,15.81,0
2.03,40.45,16.5,0
2.04,40.99,18.04,0
1.82,41.87,17.37,0
1.86,42.63,16.13,0
1.84,44,17.68,0
2.13,41.3,17.77,0
1.87,40.98,16.17,0
2.13,41.13,17.41,0
1.92,42.44,19.3,0
2.09,43.81,16.55,0
2.09,40.86,19.9,0
2.09,42.36,18.64,0
1.85,42.82,19.15,0
2.04,40.79,15.81,0
1.97,41.51,16.48,0
1.83,42.58,13.42,0
2.06,40.37,15.59,0
1.82,41.66,18.97,0
2.13,41.59,19.52,0
2.08,40.88,19.93,0
2.02,43.14,15.35,0
2.12,42.09,19.09,0
1.84,40.45,18.41,0
2.14,41.35,15.98,0
2.01,42.8,18.53,0
2.02,41.27,19.32,0
1.92,44.63,15.45,0
1.97,43.13,15.08,0
2.16,43.19,17.79,0
1.92,42.07,18.01,0
1.83,42.58,13.42,0
2.04,41.76,15.51,0
1.93,41.38,18.28,0
1.91,40.39,18.43,0
1.98,43.53,16.85,0
1.84,43.2,15.33,0
2.1,40.63,19.51,0
1.99,40.72,15.61,0
1.98,40.41,17.71,0
2.14,41.57,17.29,0
1.81,40.96,19.08,0
2.05,42.82,15.08,0
2.16,43.33,17.03,0
2.17,43.81,16.41,0
2.13,43.76,15.53,0
2,41.46,18.72,0
2.08,43.96,18.57,0
1.97,42.91,17.18,0
2.14,40.7,19.35,0
1.84,41.7,16.76,0
1.85,40.87,18.89,0
1.88,42.58,16.85,0
1.89,40.81,16,0
2.03,43.98,18.79,0
1.95,42.3,18.63,0
1.97,41.32,15.99,0
1.93,42.33,16.08,0
1.86,40.83,17.24,0
1.83,42.58,13.42,0
2.09,43.77,19.81,0
2,41.84,16.68,0
1.9,40.74,16.63,0
2.13,41.46,19.75,0
2.16,44.02,15.9,0
2.02,44.5,18.91,0
2.06,40.89,18.99,0
2.09,41.91,17.79,0
2.13,43.17,17.65,0
1.97,41.35,16.66,0
1.81,42.65,18.18,0
1.83,44.31,16.64,0
2.12,42.63,15.62,0
1.88,43.29,18.43,0
1.87,41.62,18.4,0
2.03,41.25,19.43,0
2.09,43.1,17.44,0
2.12,42.07,16.61,0
1.82,44.27,19.53,0
1.97,41.52,18.36,0
2.16,41.06,15.6,0
2.06,40.66,17.8,0
1.86,42.45,15.9,0
1.97,43.35,17.95,0
2.17,42.98,16.69,0
1.83,44.19,16.36,0
2.03,42.38,15.81,0
1.93,41.22,17.09,0
2.11,41.46,19.4,0
2.08,41.64,15.53,0
1.9,44.72,17.18,0
2.1,40.86,18.2,0
2.19,42.4,17.79,0
1.92,43.92,19.36,0
1.85,42.88,18.08,0
1.85,40.8,17.41,0
1.91,41.29,17.51,0
2.08,43.44,18.54,0
2,41.62,15.98,0
2.13,43.37,16.45,0
1.94,44.63,19.55,0
2.15,43.94,17.96,0
1.91,43.9,17.52,0
1.87,42.56,16.21,0
2.11,41.26,18.55,0
2.01,41.41,18.68,0
1.83,43.6,19.91,0
1.91,41.56,18.92,0
1.84,40.44,15.58,0
1.92,42.39,15.62,0
2.08,43.39,18.47,0
2.19,41.46,17.74,0
2.06,41.02,16.21,0
1.89,44.43,16.41,0
2.06,41.74,19.6,0
2.02,43.99,17.2,0
2.16,40.04,18.38,0
1.94,40.59,19.91,0
2.09,44.74,16.1,0
1.92,43.74,16.66,0
1.96,42.44,15.89,0
1.95,40.24,18.84,0
2.1,42.38,18.35,0
2,43.4,15.1,0
2.1,43.9,17.27,0
2.03,41.42,17.31,0
2.11,43.02,17.09,0
1.83,44.46,15.31,0
1.95,41.61,18.44,0
2.03,42.81,16.08,0
1.85,44.34,19.97,0
1.91,41.83,15.41,0
2,43.91,18.75,0
2.12,41.25,17.23,0
2,40.75,19.03,0
1.99,40.21,18.73,0
2.01,40.7,18.67,0
1.87,40.2,19.3,0
2.04,43.76,17.43,0
1.83,42.04,17.83,0
1.96,42.64,16.16,0
2.09,42.55,17.23,0
2,43.61,16.55,0
2.04,42.98,16.65,0
1.81,42.32,17.62,0
2.11,41.03,18.01,0
2.19,42.15,19.14,0
1.81,44.26,18.2,0
1.97,42.96,19.33,0
1.83,43.27,16.86,0
2.14,40.56,18.5,0
2.11,40.27,17.92,0
1.9,43.04,16.04,0
2.04,43.65,17.9,0
2.14,42.67,16.18,0
1.95,42.65,16.02,0
2.14,43,18.81,0
1.88,40.83,18.23,0
2.09,44.87,15.33,0
2.18,40.8,18.61,0
2.09,42.04,19.52,0
2.16,44.73,18.19,0
2.1,41.75,16.22,0
1.94,40.22,16.76,0
2.1,40.61,19.31,0
2.08,41.75,19.8,0
2.06,40.79,17.78,0
2.12,41.06,19.51,0
2.16,44.87,16.9,0
